municipio_obs,geo_id,camas_x100k_2024,enfermeras_x100k_2024,mort_diab_hta_2024,mort_diabetes_2021,mort_diabetes_2024,camas_x100k_2023,mort_diabetes_2020,pobreza_pct_2020,mort_diab_hta_2023,mort_diab_hta_2022,mort_diab_hta_2020,carencia_salud_pct_2020,idx_marginacion_2020,camas_x100k_2022,mort_diab_hta_2021,camas_x100k_2021,mort_diabetes_2023,idx_rezago_2020,mort_diabetes_2022,camas_x100k_2020,enfermeras_x100k_2023,enfermeras_x100k_2021,enfermeras_x100k_2022,enfermeras_x100k_2020
Ocampo,11022,0.0,130.996636572845,6.726854310497433,77.22575662854409,56.6471941936626,0.0,107.78665675525,51.2961871497,9.681930648689352,7.994476543479051,10.778665675525,21.50771584,54.7694574195741,0.0,9.561284154010222,0.0,82.4757055258723,-0.364146,69.0432065118645,0.0,150.607810090723,132.387011363218,145.354118972346,144.954469429474
Pueblo Nuevo,11024,0.0,170.450143333075,20.91888122724103,268.838459713766,209.18881227241,0.0,166.772554002541,43.2889357007,21.059199750409483,26.71695741002672,21.44218551461245,22.35593471,55.7310473337048,0.0,29.25595002767455,0.0,171.593479447781,-0.701691,204.306144900204,0.0,179.393183059044,213.489365066814,165.016501650165,214.421855146125
Purísima del Rincón,11025,34.0001133337111,170.000566668556,8.160027200090667,89.7519582245431,73.6669122230407,34.32297923459756,97.4578758879822,42.8597501131,6.7501859161375215,10.63153637256601,10.91997886455704,23.86855668,57.4725524094044,33.51245160917548,10.60704960835509,33.80268556508766,52.6285681597163,-0.718131,87.82573525163231,35.22573827276463,180.767690635547,172.510257366654,177.962674062518,167.909352433511
Pénjamo,11023,26.2183740862585,192.268076632562,14.919503349085169,159.150857258801,131.091870431292,26.35790266403088,178.737262584757,51.0809791922,14.685117198531488,15.59126888942192,20.1635986616968,21.22145004,55.2419593139735,26.51146936662837,18.83179466369078,26.63082073653241,126.768960431768,-0.463296,140.763277827574,26.71517803757935,211.490790423295,213.046565892259,205.779500321925,216.26572697088
Romita,11026,17.2082484871082,133.363925775088,10.32494909226489,111.028867505551,86.0412424355408,17.39281676667536,104.510368921602,49.9083178826,11.595211177783575,10.99432692730551,14.03424954090088,12.8319891,56.0025333976943,17.59092308368882,12.13915618060696,17.76461880088823,95.6604922167145,-0.57924,96.7500769602885,17.91606324370325,147.838942516741,148.038490007402,143.659205183459,144.821511219935
Salamanca,11027,59.8339878808977,281.038427925429,15.520573826075289,136.124365537365,131.997403567556,63.79169113223003,154.193930464676,37.0841033594,13.591979644651284,14.71723692938989,18.9221591483584,21.05067762,58.3158092065983,63.07387255452809,16.40008978415599,62.99372234973825,111.273006690879,-1.056396,117.810394139205,54.8887059265358,302.648080087569,278.403290154878,296.519699710368,276.249079169736
Salvatierra,11028,72.3743028651709,273.532291711014,20.647962876239944,240.051605807768,193.707692962663,72.22977566281442,247.462196200666,50.9652385795,24.21821889870836,22.69641948073986,26.53637167768838,21.62396027,56.6436237406066,72.11946377057525,26.22590230851391,71.90973213624778,224.12474507138,-0.73253,212.116069913457,71.60608230487342,283.608089734874,325.708786734769,284.235533684032,323.280400994061
San Diego de la Unión,11029,21.2264150943396,129.716981132075,12.971698113207546,117.283802867469,99.0566037735849,21.33206921071344,120.007680491551,39.6505511341,11.140080587817016,12.87185354691076,14.64093701996928,19.90098252,53.4163093212806,21.45308924485126,13.88257258431269,21.54192297565763,80.5878170182508,-0.144878,109.649122807018,21.60138248847926,137.473334913487,141.219272840422,145.404271548436,144.009216589862
San Felipe,11030,12.6056709762304,104.784639989915,6.696762706122417,93.61923834644,59.089082701080095,12.74575407067521,79.6747299683765,51.9080123915,7.647452442405124,8.541842942906644,9.281695346831492,22.26044854,53.9971522493502,12.89334783834965,11.64134876829646,13.02528533515688,65.3219896122104,-0.253882,62.8550707119545,13.1422234999384,113.118567377242,106.644523681597,113.622627825456,114.173066655715
San Francisco del Rincón,11031,20.7776575698738,150.458899643914,9.74400492932014,150.070949384486,84.54357218086591,21.03247704558971,123.062146383924,47.3035075202,10.951393220289814,13.14880926146297,13.80697252112317,27.42375644,57.6617426611668,21.30254014426962,16.71582357005416,20.05898828406499,92.833002132258,-0.751296,113.858404219372,20.26023141686552,160.281980243977,154.528502336501,152.056062409097,156.078819804001
